session,gt_events,yolo_events,tp,fp,fn,precision,recall,f1,avg_yolo_ms,p95_yolo_ms,avg_fps,avg_cpu_pct,avg_ram_mb,total_frames
conf025_exp2,14,4,3,1,11,75.0,21.4,33.3,739.26,837.73,4.43,17.21,590.91,1061
conf040_exp2,14,3,3,0,11,100.0,21.4,35.3,739.29,836.65,4.43,17.31,589.93,1061
conf055_exp2,14,3,3,0,11,100.0,21.4,35.3,737.31,839.11,4.43,17.28,587.41,1061
full1280_exp3,14,3,3,0,11,100.0,21.4,35.3,2535.22,2538.96,4.4,18.34,702.28,1061
full640_exp3,14,3,3,0,11,100.0,21.4,35.3,640.38,699.34,4.46,17.09,574.93,1061
full640n_mog10_exp5,14,5,4,1,10,80.0,28.6,42.1,245.01,264.14,4.47,16.96,509.36,1061
full640n_mog6_exp5,14,5,4,1,10,80.0,28.6,42.1,244.82,258.98,4.46,17.35,534.27,1061
main_pw1500_exp6,14,14,4,10,10,28.6,28.6,28.6,245.77,266.81,4.42,181.92,911.13,2259
main_pw2000_exp6,14,15,4,11,10,26.7,28.6,27.6,243.32,261.74,3.56,167.15,1036.04,2259
mog2_10_150_exp4,14,5,4,1,10,80.0,28.6,42.1,777.59,1037.87,4.34,18.17,592.68,1061
mog2_150_exp4,14,3,3,0,11,100.0,21.4,35.3,750.5,955.54,4.4,17.29,600.31,1061
mog2_25_600_exp4,14,3,3,0,11,100.0,21.4,35.3,740.71,847.58,4.44,17.35,589.96,1061
mog2_300_exp4,14,3,3,0,11,100.0,21.4,35.3,747.44,962.84,4.4,17.4,606.24,1061
mog2_4_50_exp4,14,8,5,3,9,62.5,35.7,45.5,845.54,1071.84,4.23,19.58,604.94,1061
mog2_600_exp4,14,3,3,0,11,100.0,21.4,35.3,739.79,842.56,4.44,17.08,589.52,1061
mog2_6_75_exp4,14,5,4,1,10,80.0,28.6,42.1,804.53,1001.22,4.33,18.55,600.64,1061
mog2_75_exp4,14,3,3,0,11,100.0,21.4,35.3,746.98,959.95,4.4,17.36,598.52,1061
regions640_exp3,14,3,3,0,11,100.0,21.4,35.3,738.51,840.71,4.43,17.25,589.28,1061
regions640n_mog10_exp5,14,6,4,2,10,66.7,28.6,40.0,297.46,382.48,4.45,17.34,537.52,1061
regions640n_mog6_exp5,14,6,4,2,10,66.7,28.6,40.0,306.25,377.78,4.43,17.75,545.07,1061
yolo11n_exp1,14,3,3,0,11,100.0,21.4,35.3,296.35,315.69,4.49,16.41,522.26,1061
yolo11s_exp1,14,3,3,0,11,100.0,21.4,35.3,735.77,833.92,4.43,17.11,589.55,1061
yolov8n_exp1,14,3,3,0,11,100.0,21.4,35.3,297.86,337.29,4.51,16.07,519.72,1061
