session_label,model_name,camera_name,start_time,duration_s,total_frames,frames_with_motion,frames_yolo_ran,frames_yolo_detected,frames_tracker_confirmed,total_confirmed_events,total_recordings,avg_motion_regions,avg_yolo_detections,avg_confirmed_tracks,false_alarm_reduction_yolo_pct,false_alarm_reduction_tracker_pct,avg_mog2_ms,avg_yolo_ms,avg_tracker_ms,p95_yolo_ms,p99_yolo_ms,avg_fps,avg_cpu_pct,avg_ram_mb,yolo_call_rate_pct
yolo11n_exp1,yolo11n.pt,porch,2026-03-15T15:41:23.739115,243.1,1061,50,50,50,3,3,3,0.05,0.05,0.09,0.0,94.0,9.14,296.35,0.03,315.69,1132.41,4.49,16.4,522.26,4.7
yolo11s_exp1,yolo11s.pt,porch,2026-03-15T15:46:30.294114,264.7,1061,50,50,50,3,3,3,0.05,0.05,0.09,0.0,94.0,8.98,735.77,0.02,833.92,990.33,4.43,17.09,589.55,4.7
yolov8n_exp1,yolov8n,porch,2026-03-15T15:52:15.303046,243.1,1061,50,50,49,3,3,3,0.05,0.05,0.09,2.0,93.9,9.12,297.86,0.03,337.29,389.27,4.51,16.06,519.72,4.7
conf025_exp2,yolo11s.pt,porch,2026-03-15T15:58:14.917593,265.0,1061,50,50,50,4,4,3,0.05,0.05,0.11,0.0,92.0,9.06,739.26,0.03,837.73,1008.92,4.43,17.2,590.91,4.7
conf040_exp2,yolo11s.pt,porch,2026-03-15T16:03:50.732088,265.0,1061,50,50,50,3,3,3,0.05,0.05,0.09,0.0,94.0,9.04,739.29,0.03,836.65,998.0,4.43,17.3,589.93,4.7
conf055_exp2,yolo11s.pt,porch,2026-03-15T16:09:04.570022,264.9,1061,50,50,50,3,3,3,0.05,0.05,0.09,0.0,94.0,9.05,737.31,0.03,839.11,994.91,4.43,17.26,587.41,4.7
regions640_exp3,yolo11s.pt,porch,2026-03-15T16:15:32.102361,265.0,1061,50,50,50,3,3,3,0.05,0.05,0.09,0.0,94.0,9.06,738.51,0.03,840.71,1010.57,4.43,17.23,589.28,4.7
full640_exp3,yolo11s.pt,porch,2026-03-15T16:21:20.906395,260.2,1061,50,50,50,3,3,3,0.05,0.05,0.09,0.0,94.0,9.06,640.38,0.03,699.34,900.23,4.46,17.08,574.93,4.7
full1280_exp3,yolo11s.pt,porch,2026-03-15T16:27:06.058603,354.8,1061,50,50,50,3,3,3,0.05,0.05,0.09,0.0,94.0,9.04,2535.22,0.03,2538.96,2819.6,4.4,18.32,702.28,4.7
mog2_600_exp4,yolo11s.pt,porch,2026-03-15T17:30:10.068914,264.9,1061,50,50,50,3,3,3,0.05,0.05,0.09,0.0,94.0,8.92,739.79,0.02,842.56,1030.3,4.44,17.06,589.52,4.7
